trial,params,mape,mae,rmse,r2
1,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 20, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.5, 'fourier_order_yearly': 20, 'fourier_order_weekly': 20, 'fourier_order_daily': 10, 'growth': 'linear'}",1.2611193466855812,186.32441600989364,241.57134809786294,0.9943542196532753
2,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.8, 'n_changepoints': 25, 'seasonality_prior_scale': 0.001, 'holidays_prior_scale': 1.0, 'changepoint_prior_scale': 0.5, 'fourier_order_yearly': 15, 'fourier_order_weekly': 10, 'fourier_order_daily': 5, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.256124718504577,185.5359092158777,240.89000991933486,0.9943860219431535
3,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 40, 'seasonality_prior_scale': 0.05, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.5, 'fourier_order_yearly': 5, 'fourier_order_weekly': 30, 'fourier_order_daily': 25, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2610008635638044,186.29929551114995,241.55064539787443,0.9943551873002185
4,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 50, 'seasonality_prior_scale': 0.05, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.05, 'fourier_order_yearly': 10, 'fourier_order_weekly': 15, 'fourier_order_daily': 15, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2582671941228851,185.84531216918683,241.1732267866566,0.994372813359261
5,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 20, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 1.0, 'changepoint_prior_scale': 0.001, 'fourier_order_yearly': 25, 'fourier_order_weekly': 20, 'fourier_order_daily': 20, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2558791582875186,185.40964181279486,240.8936818498798,0.9943858507920574
6,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.9, 'n_changepoints': 20, 'seasonality_prior_scale': 0.01, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.5, 'fourier_order_yearly': 20, 'fourier_order_weekly': 10, 'fourier_order_daily': 20, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2579777076881966,185.7937798803818,241.13510948372863,0.9943745919665334
7,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 40, 'seasonality_prior_scale': 0.005, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.01, 'fourier_order_yearly': 5, 'fourier_order_weekly': 10, 'fourier_order_daily': 25, 'growth': 'linear'}",1.2598392601141482,186.11363629566804,241.3899931644611,0.9943626933882126
8,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.9, 'n_changepoints': 75, 'seasonality_prior_scale': 1.0, 'holidays_prior_scale': 100.0, 'changepoint_prior_scale': 0.05, 'fourier_order_yearly': 5, 'fourier_order_weekly': 15, 'fourier_order_daily': 15, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2607171935859007,186.25387126644898,241.50952771458572,0.9943571089002691
9,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 30, 'seasonality_prior_scale': 0.001, 'holidays_prior_scale': 100.0, 'changepoint_prior_scale': 0.005, 'fourier_order_yearly': 15, 'fourier_order_weekly': 15, 'fourier_order_daily': 25, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2565318088170985,185.60635121258483,240.9411619976951,0.9943836374761933
10,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 30, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 1.0, 'changepoint_prior_scale': 0.5, 'fourier_order_yearly': 25, 'fourier_order_weekly': 20, 'fourier_order_daily': 10, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2619446906791936,186.4527990742362,241.68603064284025,0.9943488578738028
